n,t
10370,0.978675
10380,0.992501
10390,0.996033
10400,0.984169
10410,0.984265
10420,1.003920
10430,1.002359
10440,0.992400
10450,0.993700
10460,1.009391
10470,1.010437
10480,0.998043
10490,1.001502
10500,1.016422
10510,1.018982
10520,1.010972
10530,1.008281
10540,1.024345
10550,1.027232
10560,1.014986
10570,1.032288
10580,1.031893
10590,1.034493
10600,1.021657
10610,1.024233
10620,1.045530
10630,1.043238
10640,1.030395
10650,1.031415
10660,1.048078
10670,1.050133
10680,1.039958
10690,1.040663
10700,1.055451
10710,1.059365
10720,1.047993
10730,1.048016
10740,1.064093
10750,1.065384
10760,1.053223
10770,1.054324
10780,1.071040
10790,1.073344
10800,1.061857
10810,1.070481
10820,1.079433
10830,1.080807
10840,1.069824
10850,1.071064
10860,1.087400
10870,1.089459
10880,1.077380
10890,1.078535
10900,1.098072
10910,1.097934
10920,1.084771
10930,1.086448
10940,1.104001
10950,1.105175
10960,1.093162
10970,1.093956
10980,1.111996
10990,1.120528
11000,1.100306
11010,1.104066
11020,1.120217
11030,1.121574
11040,1.108651
11050,1.112138
11060,1.127612
11070,1.129469
11080,1.122327
11090,1.120854
11100,1.136387
11110,1.141048
11120,1.126816
11130,1.135540
11140,1.155955
11150,1.153661
11160,1.145435
11170,1.146334
11180,1.159397
11190,1.162602
11200,1.142041
11210,1.142169
11220,1.178607
11230,1.173074
11240,1.165484
11250,1.164463
11260,1.170551
11270,1.196725
11280,1.158886
11290,1.159782
11300,1.177239
11310,1.179221
11320,1.166382
11330,1.168777
11340,1.191517
11350,1.187909
11360,1.173534
11370,1.176741
11380,1.195051
11390,1.195888
11400,1.182467
11410,1.183996
11420,1.206415
11430,1.205050
11440,1.190995
11450,1.193398
11460,1.210481
11470,1.215812
11480,1.198281
11490,1.202556
11500,1.219624
11510,1.225391
11520,1.207686
11530,1.209860
11540,1.227335
11550,1.228750
11560,1.216972
11570,1.218193
11580,1.236711
11590,1.242548
11600,1.225470
11610,1.227374
11620,1.244604
11630,1.247543
11640,1.233200
11650,1.234875
11660,1.253126
11670,1.258426
11680,1.242000
11690,1.242614
11700,1.262779
11710,1.264258
11720,1.250202
11730,1.252832
11740,1.270794
11750,1.277492
11760,1.258203
11770,1.260215
11780,1.279624
11790,1.281112
11800,1.266274
11810,1.269898
11820,1.288425
11830,1.294396
11840,1.276788
11850,1.278540
11860,1.297296
11870,1.298391
11880,1.285394
11890,1.286591
11900,1.311999
11910,1.312493
11920,1.295260
11930,1.295287
11940,1.314576
11950,1.316653
11960,1.300914
11970,1.303664
11980,1.329388
11990,1.325068
12000,1.310855
12010,1.312012
12020,1.331931
12030,1.333765
12040,1.318550
12050,1.321395
12060,1.343243
12070,1.342739
12080,1.328106
12090,1.341027
12100,1.348908
12110,1.352371
12120,1.339769
12130,1.346460
12140,1.359609
12150,1.361116
12160,1.345953
12170,1.348537
12180,1.368098
12190,1.369840
12200,1.358701
12210,1.357200
12220,1.376747
12230,1.378524
12240,1.363509
12250,1.365874
12260,1.386791
12270,1.389152
12280,1.376514
12290,1.375938
12300,1.395417
12310,1.396944
12320,1.382858
12330,1.383591
12340,1.403578
12350,1.412565
12360,1.390449
12370,1.392781
12380,1.412850
12390,1.415788
12400,1.400611
12410,1.401080
12420,1.426400
12430,1.423939
12440,1.407800
12450,1.411037
12460,1.430585
12470,1.434012
12480,1.418388
12490,1.423662
12500,1.441090
12510,1.443567
12520,1.427479
12530,1.428605
12540,1.449023
12550,1.452584
12560,1.441369
12570,1.438074
12580,1.458638
12590,1.461834
12600,1.444453
12610,1.447986
12620,1.469760
12630,1.475631
12640,1.455622
12650,1.456380
12660,1.477945
12670,1.479404
12680,1.463754
12690,1.470013
12700,1.487948
12710,1.489741
12720,1.471623
12730,1.475717
12740,1.496137
12750,1.499355
12760,1.486000
12770,1.485799
12780,1.505702
12790,1.508662
12800,1.491801
12810,1.494802
12820,1.515932
12830,1.524395
12840,1.500851
12850,1.503430
12860,1.524999
12870,1.527269
12880,1.511279
12890,1.517777
12900,1.534964
12910,1.537193
12920,1.521125
12930,1.522399
12940,1.544078
12950,1.546182
12960,1.535838
12970,1.532212
12980,1.553643
12990,1.554958
13000,1.538119
13010,1.541169
13020,1.569373
13030,1.566121
13040,1.548318
13050,1.551236
13060,1.573668
13070,1.575070
13080,1.557537
13090,1.563824
13100,1.582417
13110,1.584044
13120,1.567789
13130,1.569711
13140,1.592349
13150,1.599561
13160,1.576470
13170,1.579096
13180,1.601865
13190,1.604318
13200,1.632010
13210,1.601861
13220,1.808656
13230,1.978275
13240,1.890431
13250,2.011388
13260,2.437327
13270,1.661790
13280,1.627864
13290,1.625684
13300,1.670616
13310,1.673095
13320,1.638577
13330,1.659773
13340,1.705906
13350,1.663608
13360,1.652725
13370,1.697850
13380,1.717757
13390,1.693156
13400,1.694531
13410,1.662230
13420,1.713334
13430,1.686413
13440,1.664897
13450,1.696703
13460,1.715047
13470,1.750223
13480,1.676350
13490,1.755432
13500,1.822514
13510,1.721620
13520,1.685499
13530,1.692965
13540,1.713844
13550,1.718312
13560,1.700779
13570,1.703198
13580,1.749035
13590,1.730062
13600,1.747144
13610,1.722202
13620,1.736175
13630,1.762665
13640,1.731581
13650,1.728503
13660,1.779250
13670,1.781775
13680,1.753505
13690,1.725276
13700,1.807513
13710,1.758605
13720,1.732680
13730,1.741966
13740,1.762188
13750,1.765838
13760,1.746573
13770,1.748668
13780,1.789496
13790,1.781439
13800,1.758478
13810,1.760660
13820,1.793114
13830,1.810764
13840,1.778395
13850,1.776071
13860,1.818310
13870,1.821563
13880,1.812103
13890,1.797268
13900,1.829337
13910,1.819860
13920,1.789220
13930,1.817872
13940,1.903011
13950,1.859525
13960,1.825920
13970,1.811528
13980,1.812190
13990,1.806048
14000,1.789609
14010,1.786813
14020,1.821858
14030,1.822819
14040,1.847311
14050,1.891219
14060,1.828890
14070,1.827183
14080,1.806867
14090,1.807685
14100,1.833984
14110,1.840817
14120,1.824043
14130,1.822984
14140,1.843366
14150,1.904053
14160,1.827246
14170,1.833143
14180,1.852941
14190,1.857623
14200,1.835794
14210,1.847617
14220,1.907627
14230,1.866942
14240,1.851368
14250,1.957675
14260,1.877045
14270,1.886266
14280,1.856149
14290,1.860404
14300,1.887146
14310,1.888149
14320,1.867168
14330,1.873782
14340,1.895762
14350,1.898791
14360,1.877188
14370,1.882488
14380,1.913073
14390,1.911931
14400,1.891266
14410,1.920463
14420,1.932113
14430,1.951848
14440,1.941669
14450,1.903392
14460,2.077980
14470,2.126075
14480,2.093856
14490,1.911820
14500,1.977934
14510,2.057502
14520,1.920257
14530,1.930003
14540,1.961863
14550,1.957758
14560,1.931800
14570,1.977567
14580,1.965708
14590,1.975974
14600,1.942425
14610,1.944835
14620,1.973033
14630,1.982910
14640,1.952988
14650,1.963711
14660,1.989030
14670,1.988387
14680,1.978875
14690,1.965087
14700,1.994379
14710,2.007157
14720,1.973049
14730,1.985772
14740,2.005435
14750,2.005934
14760,2.000736
14770,1.988064
14780,2.019851
14790,2.030354
14800,2.006313
14810,2.007933
14820,2.026743
14830,2.036185
14840,2.018971
14850,2.008077
14860,2.036986
14870,2.040388
14880,2.025526
14890,2.021065
14900,2.061193
14910,2.048787
14920,2.027971
14930,2.035521
14940,2.058689
14950,2.064995
14960,2.038523
14970,2.041160
14980,2.077788
14990,2.074347
15000,2.048739
15010,2.064918
15020,2.082957
15030,2.103368
15040,2.059647
15050,2.064468
15060,2.094528
15070,2.095319
15080,2.076064
15090,2.075924
15100,2.103236
15110,2.104694
15120,2.090654
15130,2.086233
15140,2.115404
15150,2.116695
15160,2.094395
15170,2.188428
15180,2.157714
15190,2.158318
15200,2.135486
15210,2.137012
15220,2.173519
15230,2.170218
15240,2.145249
15250,2.147789
15260,2.189303
15270,2.186624
15280,2.159041
15290,2.160735
15300,2.194236
15310,2.202904
15320,2.170262
15330,2.171032
15340,2.203064
15350,2.211250
15360,2.201177
15370,2.187928
15380,2.216727
15390,2.224482
15400,2.198320
15410,2.197645
15420,2.226492
15430,2.228491
15440,2.206557
15450,2.210143
15460,2.242149
15470,2.240252
15480,2.217814
15490,2.224240
15500,2.252838
15510,2.260637
15520,2.231120
15530,2.245802
15540,2.324810
15550,2.317278
15560,2.260190
15570,2.305744
15580,2.260905
15590,2.271660
15600,2.233946
15610,2.239749
15620,2.266506
15630,2.271737
15640,2.229227
15650,2.247523
15660,2.266940
15670,2.270196
15680,2.241669
15690,2.247379
15700,2.301870
15710,2.302775
15720,2.260108
15730,2.255308
15740,2.300461
15750,2.310694
15760,2.266881
15770,2.267577
15780,2.314962
15790,2.313491
15800,2.283721
15810,2.279437
15820,2.309942
15830,2.328232
15840,2.297168
15850,2.291250
15860,2.339546
15870,2.336952
15880,2.320184
15890,2.302037
15900,2.331990
15910,2.341529
15920,2.335987
15930,2.319214
15940,2.343407
15950,2.360720
15960,2.323950
15970,2.348036
15980,2.361627
15990,2.359084
16000,2.335406
16010,2.358317
16020,2.370064
16030,2.386221
16040,2.345061
16050,2.357096
16060,2.383011
16070,2.383379
16080,2.374147
16090,2.367706
16100,2.409278
16110,2.399863
16120,2.383843
16130,2.387725
16140,2.416183
16150,2.411300
16160,2.383481
16170,2.399561
16180,2.440252
16190,2.443342
16200,2.393113
16210,2.404449
16220,2.457663
16230,2.434348
16240,2.404863
16250,2.409309
16260,2.460046
16270,2.446485
16280,2.419632
16290,2.420306
16300,2.472806
16310,2.467945
16320,2.442456
16330,2.449300
16340,2.476683
16350,2.466701
16360,2.442205
16370,2.461670
16380,2.488182
16390,2.485052
16400,2.460361
16410,2.466499
16420,2.506619
16430,2.493715
16440,2.467260
16450,2.482145
16460,2.507018
16470,2.517997
16480,2.492071
16490,2.498967
16500,2.537185
16510,2.530864
16520,2.500897
16530,2.491576
16540,2.534059
16550,2.530972
16560,2.502968
16570,2.523599
16580,2.560247
16590,2.543611
16600,2.515406
16610,2.532378
16620,2.567658
16630,2.566268
16640,2.531965
16650,2.531556
16660,2.569138
16670,2.570186
16680,2.539438
16690,2.549039
16700,2.592735
16710,2.581226
16720,2.550892
16730,2.551562
16740,2.600613
16750,2.611770
16760,2.564499
16770,2.577925
16780,2.610382
16790,2.609360
16800,2.573054
16810,2.587697
16820,2.616064
16830,2.613617
16840,2.586864
16850,2.609610
16860,2.626584
16870,2.641922
16880,2.598548
16890,2.612332
16900,2.652722
16910,2.668500
16920,2.628294
16930,2.621598
16940,2.662513
16950,2.699980
16960,2.629448
16970,2.652598
16980,2.664538
16990,2.665549
17000,2.643782
17010,2.652375
17020,2.689471
17030,2.701079
17040,2.671157
17050,2.650563
17060,2.687716
17070,2.705344
17080,2.679807
17090,2.665539
17100,2.723483
17110,2.734012
17120,2.689312
17130,2.694339
17140,2.753371
17150,2.745879
17160,2.689121
17170,2.706172
17180,2.763242
17190,2.752107
17200,2.720310
17210,2.703827
17220,2.738806
17230,2.753995
17240,2.718350
17250,2.787390
17260,2.899981
17270,2.842590
17280,2.778888
17290,2.785945
17300,2.830454
17310,2.825813
17320,2.789502
17330,2.796957
17340,2.846326
17350,2.841335
17360,2.801884
17370,2.810628
17380,2.854080
17390,2.845817
17400,2.820861
17410,2.828028
17420,2.870240
17430,2.881202
17440,2.853559
17450,2.836703
17460,2.882019
17470,2.892146
17480,2.850906
17490,2.851887
17500,2.896734
17510,2.916011
17520,2.855501
17530,2.878396
17540,2.913115
17550,2.906772
17560,2.858396
17570,2.867060
17580,2.923556
17590,2.931208
17600,2.879309
